source,target,context
# Madaar Material Request Construction
"Request Date","تاريخ الطلب",DocType: Madaar Material Request Construction
"Required Date","تاريخ الحاجة",DocType: Madaar Material Request Construction
"Requested By","طلب بواسطة",DocType: Madaar Material Request Construction
"Approved By","اعتمد بواسطة",DocType: Madaar Material Request Construction
"Pending Approval","قيد الاعتماد",DocType: Madaar Material Request Construction
"Partially Received","مستلم جزئياً",DocType: Madaar Material Request Construction
"Received","مستلم",DocType: Madaar Material Request Construction
"Madaar Material Request Construction","طلب مواد إنشاء مدار",
# Madaar Material Request Item
"Material / Item","المادة / الصنف",DocType: Madaar Material Request Item
"Estimated Unit Price","سعر الوحدة التقديري",DocType: Madaar Material Request Item
"Estimated Total","الإجمالي التقديري",DocType: Madaar Material Request Item
"Madaar Material Request Item","صنف طلب المواد مدار",
# Madaar Labor Record
"Worker Name","اسم العامل",DocType: Madaar Labor Record
"Worker Type","نوع العامل",DocType: Madaar Labor Record
"Skilled","ماهر",DocType: Madaar Labor Record
"Unskilled","غير ماهر",DocType: Madaar Labor Record
"Supervisor","مشرف",DocType: Madaar Labor Record
"Technician","تقني",DocType: Madaar Labor Record
"Regular Hours","ساعات عادية",DocType: Madaar Labor Record
"Hourly Rate","معدل الساعة",DocType: Madaar Labor Record
"Overtime Hours","ساعات العمل الإضافي",DocType: Madaar Labor Record
"Overtime Rate","معدل ساعة الإضافي",DocType: Madaar Labor Record
"Total Cost","إجمالي التكلفة",DocType: Madaar Labor Record
"Madaar Labor Record","سجل عمالة مدار",
# Madaar Change Order (Variation)
"Variation No.","رقم التعديل",DocType: Madaar Change Order
"Client Approved","موافق من العميل",DocType: Madaar Change Order
"Revised Completion Date","تاريخ الإنجاز المعدّل",DocType: Madaar Change Order
"Amount Change","قيمة التعديل",DocType: Madaar Change Order
"Approved","معتمد",DocType: Madaar Change Order
"Rejected","مرفوض",DocType: Madaar Change Order
"Madaar Change Order","أمر تغيير مدار",
# Madaar Progress Bill
"Billing No.","رقم فاتورة الدفعة",DocType: Madaar Progress Bill
"Period Start","بداية الفترة",DocType: Madaar Progress Bill
"Period End","نهاية الفترة",DocType: Madaar Progress Bill
"Completion %","نسبة الإنجاز %",DocType: Madaar Progress Bill
"Gross Amount","المبلغ الإجمالي",DocType: Madaar Progress Bill
"Retention Amount","مبلغ الاحتجاز",DocType: Madaar Progress Bill
"Net Amount","صافي المبلغ",DocType: Madaar Progress Bill
"Sales Invoice","فاتورة المبيعات",DocType: Madaar Progress Bill
"Madaar Progress Bill","فاتورة دفعة مدار",
# Madaar BOQ
"Bill of Quantities","جدول الكميات",
"Madaar BOQ","جدول كميات مدار",
"Madaar BOQ Item","بند جدول كميات مدار",
# Common
"Project","المشروع",
"Status","الحالة",
"Date","التاريخ",
"Notes","ملاحظات",
"Description","الوصف",
"Items","البنود",
"Unit","الوحدة",
"Quantity","الكمية",
"In Progress","جاري التنفيذ",
"Completed","مكتمل",
"Cancelled","ملغي",
"Draft","مسودة",
"Active","نشط",
"Available","متاح",
"Maintenance","صيانة",
"Project Details","تفاصيل المشروع",
"Financial","المالية",
"Madaar Construction","إنشاءات مدار",
